"PlotId","StationId","Yearmon","Ta_200","Ta_200_min","Ta_200_max"
"cof1","000rug","2011-01",22.72,20.766,25.9
"cof1","000rug","2011-02",22.291,17.22,25.022
"cof1","000rug","2011-03",20.785,19.708,22.289
"cof1","000rug","2011-04",19.79,18.055,21.026
"cof1","000rug","2011-05",18.574,17.681,19.936
"cof1","000rug","2011-06",17.627,16.296,19.443
"cof1","000rug","2011-07",16.814,15.63,17.839
"cof1","000rug","2011-08",17.078,15.741,17.996
"cof1","000rug","2011-09",17.969,16.26,19.66
"cof1","000rug","2011-10",19.017,16.391,21.307
"cof1","000rug","2011-11",19.928,18.77,20.966
"cof1","000rug","2011-12",20.423,18.829,21.558
"cof1","000rug","2012-01",21.994,21.042,23.365
"cof1","000rug","2012-02",21.597,19.951,23.332
"cof1","000rug","2012-03",21.28,19.705,22.482
"cof1","000rug","2012-04",19.575,17.953,21.907
"cof1","000rug","2012-05",18.034,16.516,19.465
"cof1","000rug","2012-06",16.788,15.301,18.748
"cof1","000rug","2012-07",15.952,14.508,17.79
"cof1","000rug","2012-08",16.706,15.355,17.878
"cof1","000rug","2012-09",18.086,15.821,20.123
"cof1","000rug","2012-10",19.671,17.53,21.647
"cof1","000rug","2012-11",19.862,17.393,21.304
"cof1","000rug","2012-12",20.378,19.01,21.882
"cof1","000rug","2013-01",21.115,19.396,22.315
"cof1","000rug","2013-02",21.6,19.359,23.007
"cof1","000rug","2013-03",20.533,19.362,21.807
"cof1","000rug","2013-04",19.56,17.924,20.891
"cof1","000rug","2013-05",17.882,16.474,18.895
"cof1","000rug","2013-06",16.517,14.998,17.5
"cof1","000rug","2013-07",16.143,15.231,17.364
"cof1","000rug","2013-08",16.572,15.203,18.072
"cof1","000rug","2013-09",18.584,16.983,21.315
"cof1","000rug","2013-10",19.679,18.247,21.587
"cof1","000rug","2013-11",20.1665,17.207,21.7945
"cof1","000rug","2013-12",20.0285,18.613,21.359
"cof1","000rug","2014-01",21.228,20.0845,21.7905
"cof1","000rug","2014-02",20.443,18.5985,22.325
"cof1","000rug","2014-03",20.2425,19.06,21.227
"cof1","000rug","2014-04",19.064,17.795,20.688
"cof2","000rug","2011-01",21.814,20.315,24.397
"cof2","000rug","2011-02",21.647,17.686,23.65
"cof2","000rug","2011-03",20.857,19.815,22.142
"cof2","000rug","2011-04",19.886,18.239,20.842
"cof2","000rug","2011-05",18.727,17.861,20.153
"cof2","000rug","2011-06",17.803,16.499,19.637
"cof2","000rug","2011-07",17.036,15.681,18.152
"cof2","000rug","2011-08",17.396,15.98,18.286
"cof2","000rug","2011-09",18.645,16.616,20.352
"cof2","000rug","2011-10",19.7,16.899,22.588
"cof2","000rug","2011-11",20.596,19.055,21.844
"cof2","000rug","2011-12",21.055,19.127,22.355
"cof2","000rug","2012-01",22.329,21.308,23.649
"cof2","000rug","2012-02",21.791,19.917,23.821
"cof2","000rug","2012-03",21.131,19.809,22.581
"cof2","000rug","2012-04",19.701,17.796,21.785
"cof2","000rug","2012-05",18.366,16.75,19.917
"cof2","000rug","2012-06",17.611,16.294,18.483
"cof2","000rug","2012-07",16.812,15.272,18.312
"cof2","000rug","2012-08",17.497,15.835,18.777
"cof2","000rug","2012-09",18.696,16.957,20.159
"cof2","000rug","2012-10",20.451,18.283,22.074
"cof2","000rug","2012-11",20.527,17.458,21.956
"cof2","000rug","2012-12",21.177,19.582,23.129
"cof2","000rug","2013-01",21.515,19.742,22.718
"cof2","000rug","2013-02",21.958,19.873,23.583
"cof2","000rug","2013-03",20.924,19.702,22.089
"cof2","000rug","2013-04",20.136,18.294,21.677
"cof2","000rug","2013-05",18.475,16.9,19.676
"cof2","000rug","2013-06",17.113,15.3,18.322
"cof2","000rug","2013-07",16.719,15.379,18.099
"cof2","000rug","2013-08",17.095,15.544,18.758
"cof2","000rug","2013-09",19.296,17.736,22.232
"cof2","000rug","2013-10",20.48,19.072,22.186
"cof2","000rug","2013-11",20.8895,17.344,22.6515
"cof2","000rug","2013-12",20.582,19.0595,22.062
"cof2","000rug","2014-01",21.897,20.411,22.6385
"cof2","000rug","2014-02",21.1025,18.8755,23.216
"cof2","000rug","2014-03",20.772,19.3815,21.89
"cof3","000rug","2011-01",22.146,20.777,24.228
"cof3","000rug","2011-02",21.879,18.257,23.718
"cof3","000rug","2011-03",21.188,19.756,22.736
"cof3","000rug","2011-04",20.053,18.642,20.921
"cof3","000rug","2011-05",19.039,18.281,20.459
"cof3","000rug","2011-06",18.196,17.057,19.782
"cof3","000rug","2011-07",17.656,16.337,18.926
"cof3","000rug","2011-08",17.931,16.666,18.859
"cof3","000rug","2011-09",19.313,17.47,21.505
"cof3","000rug","2011-10",20.241,17.362,22.732
"cof3","000rug","2011-11",21.03,19.364,22.433
"cof3","000rug","2011-12",21.399,19.51,22.656
"cof3","000rug","2012-01",23.09,22.106,24.545
"cof3","000rug","2012-02",22.439,20.777,24.366
"cof3","000rug","2012-03",21.87,20.082,23.087
"cof3","000rug","2012-04",20.139,18.297,22.346
"cof3","000rug","2012-05",18.794,16.966,20.296
"cof3","000rug","2012-06",17.856,16.499,18.687
"cof3","000rug","2012-07",17.194,15.549,18.693
"cof3","000rug","2012-08",17.725,16.004,18.789
"cof3","000rug","2012-09",19.31,17.159,21.262
"cof3","000rug","2012-10",21.538,18.939,23.486
"cof3","000rug","2012-11",21.318,17.763,23.128
"cof3","000rug","2012-12",21.997,19.976,24.487
"cof3","000rug","2013-01",22.501,20.49,23.933
"cof3","000rug","2013-02",22.763,20.55,24.645
"cof3","000rug","2013-03",21.443,20.191,22.837
"cof3","000rug","2013-04",20.474,18.442,21.945
"cof3","000rug","2013-05",18.71,17.234,19.94
"cof3","000rug","2013-06",17.274,15.518,18.458
"cof3","000rug","2013-07",16.891,15.515,18.105
"cof3","000rug","2013-08",17.272,15.711,18.783
"cof3","000rug","2013-09",19.314,17.632,22.098
"cof3","000rug","2013-10",21.022,19.387,23.049
"cof3","000rug","2013-11",22.073,18.412,24.052
"cof3","000rug","2013-12",21.7595,19.985,23.4935
"cof3","000rug","2014-01",23.44,22.015,24.189
"cof3","000rug","2014-02",21.83,19.441,24.407
"cof3","000rug","2014-03",21.407,20.0805,22.4455
"cof3","000rug","2014-04",20.046,18.883,21.811
"cof4","000rug","2011-01",23.668,22.093,25.407
"cof4","000rug","2011-02",23.769,19.939,26.238
"cof4","000rug","2011-03",23.333,20.869,25.45
"cof4","000rug","2011-04",22.466,20.894,23.841
"cof4","000rug","2011-05",21.411,19.556,23.07
"cof4","000rug","2011-06",20.761,17.875,22.4
"cof4","000rug","2011-07",20.087,18.473,21.934
"cof4","000rug","2011-08",20.168,18.706,21.218
"cof4","000rug","2011-09",20.844,18.592,22.792
"cof4","000rug","2011-10",21.483,17.73,24.179
"cof4","000rug","2011-11",22.414,20.568,24.007
"cof4","000rug","2011-12",23.525,21.065,24.844
